Example_Index,Loss
0,11.105106353759766
1,11.054508209228516
2,10.983037948608398
3,10.944002151489258
4,10.884990692138672
5,10.851319313049316
6,10.759936332702637
7,10.692411422729492
8,10.626251220703125
9,10.55946159362793
10,10.499823570251465
11,10.489487648010254
12,10.46047592163086
13,10.401018142700195
14,10.37666130065918
15,10.297388076782227
16,10.231101989746094
17,10.18177318572998
18,10.151912689208984
19,10.102295875549316
20,10.053755760192871
21,10.035964012145996
22,9.98934268951416
23,9.960658073425293
24,9.997241020202637
25,9.91435718536377
26,9.840927124023438
27,9.871339797973633
28,9.858580589294434
29,9.836661338806152
30,9.846321105957031
31,9.847491264343262
32,9.842331886291504
33,9.790164947509766
34,9.740758895874023
35,9.778162002563477
36,9.736483573913574
37,9.65109634399414
38,9.693448066711426
39,9.689391136169434
40,9.633620262145996
41,9.662843704223633
42,9.65654468536377
43,9.620701789855957
44,9.6012601852417
45,9.585845947265625
46,9.565052032470703
47,9.560894012451172
48,9.622014045715332
49,9.56045913696289
50,9.545210838317871
51,9.491059303283691
52,9.41030502319336
53,9.484867095947266
54,9.45125961303711
55,9.42697811126709
56,9.465619087219238
57,9.461913108825684
58,9.477997779846191
59,9.441841125488281
60,9.493050575256348
61,9.377946853637695
62,9.41847038269043
63,9.46433162689209
64,9.444968223571777
65,9.440298080444336
66,9.373111724853516
67,9.34589958190918
68,9.40512752532959
69,9.363117218017578
70,9.400947570800781
71,9.35705852508545
72,9.301198959350586
73,9.368021011352539
74,9.396039962768555
75,9.364679336547852
76,9.339920997619629
77,9.373551368713379
78,9.371474266052246
79,9.395212173461914
80,9.398293495178223
81,9.431987762451172
82,9.454455375671387
83,9.47767448425293
84,9.390137672424316
85,9.39152717590332
86,9.407756805419922
87,9.349770545959473
88,9.412867546081543
89,9.37769603729248
90,9.387706756591797
91,9.368831634521484
92,9.36391544342041
93,9.432554244995117
94,9.378243446350098
95,9.403764724731445
96,9.386862754821777
97,9.434354782104492
98,9.348048210144043
99,9.391949653625488
100,9.410967826843262
101,9.39883804321289
102,9.345717430114746
103,9.371039390563965
104,9.358870506286621
105,9.38995361328125
106,9.336284637451172
107,9.308500289916992
108,9.256823539733887
109,9.334466934204102
110,9.37317180633545
111,9.390517234802246
112,9.329546928405762
113,9.322075843811035
114,9.377232551574707
115,9.354914665222168
116,9.349591255187988
117,9.304056167602539
118,9.25400161743164
119,9.253926277160645
120,9.19180965423584
121,9.259490966796875
122,9.227888107299805
123,9.226588249206543
124,9.197505950927734
125,9.213397026062012
126,9.16260814666748
127,9.186738014221191
128,9.133275985717773
129,9.146214485168457
130,9.147706985473633
131,9.160666465759277
132,9.152617454528809
133,9.230257034301758
134,9.187143325805664
135,9.18165397644043
136,9.176958084106445
137,9.13138198852539
138,9.122127532958984
139,9.093535423278809
140,9.0839204788208
141,9.036428451538086
142,9.02983283996582
143,8.956305503845215
144,8.99005126953125
145,8.86886215209961
146,8.886799812316895
147,8.853321075439453
148,8.836181640625
149,8.806797981262207
150,8.854242324829102
151,8.821385383605957
152,8.78046989440918
153,8.842375755310059
154,8.795608520507812
155,8.841927528381348
156,8.8037109375
157,8.741787910461426
158,8.764535903930664
159,8.719225883483887
160,8.740242004394531
161,8.658905982971191
162,8.72891616821289
163,8.665153503417969
164,8.68146800994873
165,8.670064926147461
166,8.775327682495117
167,8.77668285369873
168,8.782411575317383
169,8.765761375427246
170,8.77936840057373
171,8.764077186584473
172,8.752315521240234
173,8.72323989868164
174,8.7652587890625
175,8.764062881469727
176,8.741329193115234
177,8.728421211242676
178,8.69870376586914
179,8.763794898986816
180,8.71982192993164
181,8.762558937072754
182,8.804607391357422
183,8.808086395263672
184,8.797675132751465
185,8.700786590576172
186,8.731406211853027
187,8.755903244018555
188,8.733379364013672
189,8.70562744140625
190,8.723088264465332
191,8.586604118347168
192,8.681848526000977
193,8.634056091308594
