epoch,train_loss,val_loss,alpha,beta,lambda_val,num_samples
1,2.352421707829058,1.6358279013633727,1.0,1.0,0.0,100
2,1.960207721340935,1.4543453526496888,1.0,1.0,-1.0993724090596673,100
3,1.8505065054780898,1.337151153087616,1.0,1.0,-0.878690644245568,100
4,1.7603604518331448,1.230238938331604,1.0,1.0,-0.681974060493445,100
5,1.6684004930523981,1.1368747448921204,1.0,1.0,-0.5726792826037487,100
